岗位,职位,薪资,公司,城市,经验,学历,领域,规模,性质,技能要求,招聘人数,公司详情页,职位详情页,处理后的薪资,平均月薪(元),平均月薪
Python开发工程师,python开发工程师,1.5-3万·14薪,外企德科数字技术有限公司,深圳,经验不限,本科,专业技术服务,10000人以上,合资,"Java, C++",10,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40600072605.htm,15.0-30.0k,22500.0,22.5k
Python开发工程师,腾讯TEG-AI部python开发,8000-10000元,软通动力信息技术(集团)股份有限公司,深圳,1-3年,大专,互联网,10000人以上,民营,"Linux, SQL, Python",1,https://company.zhaopin.com/CZ000544460.htm,http://jobs.zhaopin.com/CC000544460J40422686916.htm,8.0-10.0k,9000.0,9.0k
Python开发工程师,Python开发工程师,8000-12000元,郑州大腕文化传播有限公司,郑州,1-3年,本科,广告/营销,20-99人,民营,"Python, Django, Flask, MySQL, MongoDB, Redis",1,http://company.zhaopin.com/CZ873274120.htm,http://jobs.zhaopin.com/CC873274120J40752118510.htm,8.0-12.0k,10000.0,10.0k
Python开发工程师,python开发工程师,1.5-3万·14薪,外企德科数字技术有限公司,成都,经验不限,本科,专业技术服务,10000人以上,合资,"Java, C++",10,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40600072205.htm,15.0-30.0k,22500.0,22.5k
Python开发工程师,python开发 （24年毕业可投递 新凯来项目）,1-1.1万,软通动力信息技术(集团)股份有限公司,深圳,1-3年,本科,互联网,10000人以上,民营,"MySQL, Shell",1,https://company.zhaopin.com/CZ000544460.htm,http://jobs.zhaopin.com/CC000544460J40670368916.htm,10.0-11.0k,10500.0,10.5k
Python开发工程师,python后端开发工程师（线上面试）,1.1-1.5万,软通动力信息技术(集团)股份有限公司,深圳,1-3年,本科,互联网,10000人以上,民营,"Django, MySQL, MongoDB, Docker, Sql, Python, Redis, PYTHON后端开发, Flask",1,https://company.zhaopin.com/CZ000544460.htm,http://jobs.zhaopin.com/CC000544460J40716727916.htm,11.0-15.0k,13000.0,13.0k
Python开发工程师,双休/Python开发工程师,8000-13000元·13薪,正华电讯,合肥,1-3年,本科,运营商/增值服务,1000-9999人,国企,Sql,1,http://company.zhaopin.com/CZ151945410.htm,http://jobs.zhaopin.com/CC151945410J40742027809.htm,8.0-13.0k,10500.0,10.5k
Python开发工程师,python后端开发工程师,1.5-3万,外企德科数字技术有限公司,成都,经验不限,本科,专业技术服务,10000人以上,合资,Java,100,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40773180805.htm,15.0-30.0k,22500.0,22.5k
Python开发工程师,Python开发工程师,1.5-3万·14薪,外企德科数字技术有限公司,深圳,经验不限,本科,专业技术服务,10000人以上,合资,"Java, C++",10,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40780176905.htm,15.0-30.0k,22500.0,22.5k
Python开发工程师,C/C++/Java/JS/Python软件开发（全国有岗 接受应届）,1.5-3万,外企德科数字技术有限公司,西安,经验不限,本科,专业技术服务,10000人以上,合资,"C#, Java, Python, MySQL",50,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40704710705.htm,15.0-30.0k,22500.0,22.5k
Python开发工程师,python开发工程师,1-2万,北京润净科技发展有限公司,廊坊,经验不限,本科,计算机软件,20人以下,民营,"PostgreSQL, Redis",1,http://company.zhaopin.com/CZ862560620.htm,http://jobs.zhaopin.com/CC862560620J40719555716.htm,10.0-20.0k,15000.0,15.0k
Python开发工程师,Python开发工程师,8000-13000元·13薪,正华电讯,合肥,1-3年,本科,运营商/增值服务,1000-9999人,国企,PyQt,1,http://company.zhaopin.com/CZ151945410.htm,http://jobs.zhaopin.com/CC151945410J40742064909.htm,8.0-13.0k,10500.0,10.5k
Python开发工程师,Python开发工程师-双休-五险一金,8000-13000元,正华电讯,合肥,1-3年,本科,运营商/增值服务,1000-9999人,国企,Flask,1,http://company.zhaopin.com/CZ151945410.htm,http://jobs.zhaopin.com/CC151945410J40742046909.htm,8.0-13.0k,10500.0,10.5k
Python开发工程师,python开发工程师,6000-10000元,重庆市信息通信咨询设计院有限公司,贵阳,1-3年,本科,通信/网络设备,300-499人,国企,Python,1,http://company.zhaopin.com/CC634148723.htm,http://jobs.zhaopin.com/CC634148720J40916476604.htm,6.0-10.0k,8000.0,8.0k
Python开发工程师,python自动化脚本开发,1-1.2万,杭州星溢科技有限公司,杭州,1-3年,本科,电子商务,20-99人,民营,Python,1,http://company.zhaopin.com/CZL1351874340.htm,http://jobs.zhaopin.com/CCL1351874340J40672675902.htm,10.0-12.0k,11000.0,11.0k
Python开发工程师,Python开发工程师,1.5-3万·14薪,外企德科数字技术有限公司,上海,经验不限,本科,专业技术服务,10000人以上,合资,"Java, C++",10,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40780160905.htm,15.0-30.0k,22500.0,22.5k
Python开发工程师,软件开发（C++、C、java、python、JS、GO、前端、大数据开发、软件测试、算法工程师）,1.5-3万·15薪,外企德科数字技术有限公司,西安,经验不限,本科,专业技术服务,10000人以上,合资,"C语言, Java, Python, Linux开发, Web开发, 嵌入式开发, MySQL, Oracle, C++",30,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40697824205.htm,15.0-30.0k,22500.0,22.5k
Python开发工程师,Python开发工程师（赴日）,2.1-4万,株式会社GSD,日本,1-3年,本科,计算机软件,100-299人,外商独资,"Java, .NET, C语言, C++, Python",1,http://company.zhaopin.com/CZ293515380.htm,http://jobs.zhaopin.com/CC293515380J40396994711.htm,21.0-40.0k,30500.0,30.5k
Python开发工程师,Python算法和开发,1.4-1.8万,上海韦创立企业管理咨询有限公司,武汉,经验不限,学历不限,咨询服务,100-299人,民营,"MongoDB, PostgreSQL",1,http://company.zhaopin.com/CZ706031980.htm,http://jobs.zhaopin.com/CC706031980J40839718115.htm,14.0-18.0k,16000.0,16.0k
Python开发工程师,C/C++/Java/JS/Python软件开发（全国有岗 接受应届）,1.5-3万,外企德科数字技术有限公司,东莞,经验不限,本科,专业技术服务,10000人以上,合资,"C#, Java, Python, MySQL",50,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40704710605.htm,15.0-30.0k,22500.0,22.5k
Python开发工程师,PYTHON开发工程师,9000-14000元,大连富地重工机械制造有限公司,大连,3-5年,本科,电气机械/电力设备,100-299人,民营,"后端开发, 数据处理, 系统优化及自动化测试",1,http://company.zhaopin.com/CZ431498410.htm,http://jobs.zhaopin.com/CC431498410J40753100110.htm,9.0-14.0k,11500.0,11.5k
Python开发工程师,python开发工程师,1.5-3万·14薪,陕西慧云联达企业管理咨询有限公司,武汉,经验不限,本科,人力资源服务,20-99人,民营,Python,10,http://company.zhaopin.com/CZL1445845820.htm,http://jobs.zhaopin.com/CCL1445845820J40778918105.htm,15.0-30.0k,22500.0,22.5k
Python开发工程师,C/C++/Java/JS/Python软件开发（全国有岗 接受应届）,1.5-3万,外企德科数字技术有限公司,武汉,经验不限,本科,专业技术服务,10000人以上,合资,"C#, Java, Python, MySQL",50,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40704712305.htm,15.0-30.0k,22500.0,22.5k
Python开发工程师,python后端开发工程师,2-4万·16薪,陕西慧云联达企业管理咨询有限公司,上海,经验不限,本科,人力资源服务,20-99人,民营,Python,10,http://company.zhaopin.com/CZL1445845820.htm,http://jobs.zhaopin.com/CCL1445845820J40760530905.htm,20.0-40.0k,30000.0,30.0k
Python开发工程师,软件开发工程师Python,1.3-2.6万·14薪,外企德科数字技术有限公司,深圳,经验不限,本科,专业技术服务,10000人以上,合资,MySQL,10,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40653598205.htm,13.0-26.0k,19500.0,19.5k
Python开发工程师,python后端开发工程师,1-1.3万,武汉诚纳人力资源有限公司,武汉,1-3年,本科,人力资源服务,20-99人,民营,"MongoDB, Pillow",4,http://company.zhaopin.com/CZ666913930.htm,http://jobs.zhaopin.com/CC666913930J40724210501.htm,10.0-13.0k,11500.0,11.5k
Python开发工程师,Python开发,1.5-3万,北京瑞鑫天算资产管理有限公司,北京,经验不限,本科,基金,20-99人,民营,"C++, C, MySQL, Python",3,http://company.zhaopin.com/CZL1241735280.htm,http://jobs.zhaopin.com/CCL1241735280J40707484107.htm,15.0-30.0k,22500.0,22.5k
Python开发工程师,软件开发工程师Python,1.3-2.6万·14薪,外企德科数字技术有限公司,上海,经验不限,本科,专业技术服务,10000人以上,合资,MySQL,10,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40653598405.htm,13.0-26.0k,19500.0,19.5k
Python开发工程师,C/C++/Java/JS/Python/Go软件开发【全国有岗位 可接受应届】,1.5-3万,外企德科数字技术有限公司,杭州,经验不限,本科,专业技术服务,10000人以上,合资,"C语言, Java, Python",50,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40704711105.htm,15.0-30.0k,22500.0,22.5k
Python开发工程师,python开发,1.5-1.8万,顶尖传诚,深圳,3-5年,大专,计算机软件,100-299人,民营,"Django, Python",1,http://company.zhaopin.com/CC271678334.htm,http://jobs.zhaopin.com/CC271678330J40761813014.htm,15.0-18.0k,16500.0,16.5k
Python开发工程师,Python开发工程师,1.8-3万·13薪,大连思凯软件科技有限公司,日本,1-3年,大专,计算机软件,100-299人,外商独资,"Python, 日语",5,http://company.zhaopin.com/CZL1363207810.htm,http://jobs.zhaopin.com/CCL1363207810J40367186907.htm,18.0-30.0k,24000.0,24.0k
Python开发工程师,python开发工程师,8000-16000元,深圳易宝软件有限公司,南京,1-3年,大专,计算机软件,1000-9999人,上市公司,"Odoo, 二次开发, MySQL, Python",3,http://company.zhaopin.com/CZ120109940.htm,http://jobs.zhaopin.com/CC120109940J40785340413.htm,8.0-16.0k,12000.0,12.0k
Python开发工程师,python开发工程师,7000-12000元,深圳市科力锐科技有限公司,重庆,1-3年,大专,IT服务,100-299人,民营,"linux, Python",1,http://company.zhaopin.com/CZ438069080.htm,http://jobs.zhaopin.com/CC438069080J40746802605.htm,7.0-12.0k,9500.0,9.5k
Python开发工程师,软件开发工程师Python,1.3-2.6万·14薪,外企德科数字技术有限公司,东莞,经验不限,本科,专业技术服务,10000人以上,合资,MySQL,10,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40653598105.htm,13.0-26.0k,19500.0,19.5k
